"";"Date";"Day";"High.Temp...F.";"Low.Temp...F.";"Precipitation";"Brooklyn.Bridge";"Manhattan.Bridge";"Williamsburg.Bridge";"Queensboro.Bridge";"Total"
"0";"2016-04-01 00:00:00";"2016-04-01 00:00:00";78,1;66;"0.01";1704;3126;4115;2552;11497
"1";"2016-04-02 00:00:00";"2016-04-02 00:00:00";55;48,9;"0.15";827;1646;2565;1884;6922
"2";"2016-04-03 00:00:00";"2016-04-03 00:00:00";39,9;34;"0.09";526;1232;1695;1306;4759
"3";"2016-04-04 00:00:00";"2016-04-04 00:00:00";44,1;33,1;"0.47 (S)";521;1067;1440;1307;4335
"4";"2016-04-05 00:00:00";"2016-04-05 00:00:00";42,1;26,1;"0";1416;2617;3081;2357;9471
"5";"2016-04-06 00:00:00";"2016-04-06 00:00:00";45;30;"0";1885;3329;3856;2849;11919
"6";"2016-04-07 00:00:00";"2016-04-07 00:00:00";57;53,1;"0.09";1276;2581;3282;2457;9596
"7";"2016-04-08 00:00:00";"2016-04-08 00:00:00";46,9;44,1;"0.01";1982;3455;4113;3194;12744
"8";"2016-04-09 00:00:00";"2016-04-09 00:00:00";43;37,9;"0.09";504;997;1507;1502;4510
"9";"2016-04-10 00:00:00";"2016-04-10 00:00:00";48,9;30,9;"0";1447;2387;3132;2160;9126
"10";"2016-04-11 00:00:00";"2016-04-11 00:00:00";62,1;46;"0.01";2005;3791;4334;3182;13312
"11";"2016-04-12 00:00:00";"2016-04-12 00:00:00";57;45;"0.2";1045;2178;2762;2082;8067
"12";"2016-04-13 00:00:00";"2016-04-13 00:00:00";57;39,9;"0";2840;5395;5995;4192;18422
"13";"2016-04-14 00:00:00";"2016-04-14 00:00:00";62,1;44,6;"0";2861;5309;6030;4115;18315
"14";"2016-04-15 00:00:00";"2016-04-15 00:00:00";64;44,1;"0";2770;5072;5816;3912;17570
"15";"2016-04-16 00:00:00";"2016-04-16 00:00:00";66;45;"0";2384;4316;5624;4051;16375
"16";"2016-04-17 00:00:00";"2016-04-17 00:00:00";73,9;46;"0";3147;4969;5867;4197;18180
"17";"2016-04-18 00:00:00";"2016-04-18 00:00:00";81;52;"0";3871;6823;7432;4964;23090
"18";"2016-04-19 00:00:00";"2016-04-19 00:00:00";71,1;63;"0";3501;6951;7834;5032;23318
"19";"2016-04-20 00:00:00";"2016-04-20 00:00:00";68;50;"0";3450;6574;7639;4928;22591
"20";"2016-04-21 00:00:00";"2016-04-21 00:00:00";71,1;50;"0";3436;6452;7426;4813;22127
"21";"2016-04-22 00:00:00";"2016-04-22 00:00:00";78,1;63;"T";2975;4907;6093;3862;17837
"22";"2016-04-23 00:00:00";"2016-04-23 00:00:00";70;61;"0.16";2055;3276;4856;3239;13426
"23";"2016-04-24 00:00:00";"2016-04-24 00:00:00";68;48;"0";2798;4650;5335;3957;16740
"24";"2016-04-25 00:00:00";"2016-04-25 00:00:00";66,9;54;"0";3463;5978;6845;4564;20850
"25";"2016-04-26 00:00:00";"2016-04-26 00:00:00";60,1;46,9;"0.24";1997;3520;4559;2929;13005
"26";"2016-04-27 00:00:00";"2016-04-27 00:00:00";62,1;46,9;"0";3343;5606;6577;4388;19914
"27";"2016-04-28 00:00:00";"2016-04-28 00:00:00";57,9;48;"0";2486;4152;5336;3657;15631
"28";"2016-04-29 00:00:00";"2016-04-29 00:00:00";57;46,9;"0.05";2375;4178;5053;3348;14954
"29";"2016-04-30 00:00:00";"2016-04-30 00:00:00";64;48;"0";3199;4952;5675;3606;17432
"30";"2016-04-01 00:00:00";"2016-04-01 00:00:00";78,1;66;"0.01";1704;3126;4115;2552;11497
"31";"2016-04-02 00:00:00";"2016-04-02 00:00:00";55;48,9;"0.15";827;1646;2565;1884;6922
"32";"2016-04-03 00:00:00";"2016-04-03 00:00:00";39,9;34;"0.09";526;1232;1695;1306;4759
"33";"2016-04-04 00:00:00";"2016-04-04 00:00:00";44,1;33,1;"0.47 (S)";521;1067;1440;1307;4335
"34";"2016-04-05 00:00:00";"2016-04-05 00:00:00";42,1;26,1;"0";1416;2617;3081;2357;9471
"35";"2016-04-06 00:00:00";"2016-04-06 00:00:00";45;30;"0";1885;3329;3856;2849;11919
"36";"2016-04-07 00:00:00";"2016-04-07 00:00:00";57;53,1;"0.09";1276;2581;3282;2457;9596
"37";"2016-04-08 00:00:00";"2016-04-08 00:00:00";46,9;44,1;"0.01";1982;3455;4113;3194;12744
"38";"2016-04-09 00:00:00";"2016-04-09 00:00:00";43;37,9;"0.09";504;997;1507;1502;4510
"39";"2016-04-10 00:00:00";"2016-04-10 00:00:00";48,9;30,9;"0";1447;2387;3132;2160;9126
"40";"2016-04-11 00:00:00";"2016-04-11 00:00:00";62,1;46;"0.01";2005;3791;4334;3182;13312
"41";"2016-04-12 00:00:00";"2016-04-12 00:00:00";57;45;"0.2";1045;2178;2762;2082;8067
"42";"2016-04-13 00:00:00";"2016-04-13 00:00:00";57;39,9;"0";2840;5395;5995;4192;18422
"43";"2016-04-14 00:00:00";"2016-04-14 00:00:00";62,1;44,6;"0";2861;5309;6030;4115;18315
"44";"2016-04-15 00:00:00";"2016-04-15 00:00:00";64;44,1;"0";2770;5072;5816;3912;17570
"45";"2016-04-16 00:00:00";"2016-04-16 00:00:00";66;45;"0";2384;4316;5624;4051;16375
"46";"2016-04-17 00:00:00";"2016-04-17 00:00:00";73,9;46;"0";3147;4969;5867;4197;18180
