Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kobayashi, T., Génois, M.","56172248500; 55813048000","The switching mechanisms of social network densification",2021,"Scientific Reports",11,"1", 3160,,,,,10.1038/s41598-021-82432-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100499632&partnerID=40&md5=c5e1ee66342a90bcf5ea66942d8a2e61",Article,Final,Open Access,Scopus,2-s2.0-85100499632
"Adkins, T.J., Gary, B.S., Lee, T.G.","57217185596; 57217186558; 56122323700","Interactive effects of incentive value and valence on the performance of discrete action sequences",2021,"Scientific Reports",11,"1", 9327,,,,,10.1038/s41598-021-88286-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105037507&partnerID=40&md5=3a9e756f423307aa3dbc865307e2ee18",Article,Final,Open Access,Scopus,2-s2.0-85105037507
"Denz, A., Njoroge, M.M., Tambwe, M.M., Champagne, C., Okumu, F., van Loon, J.J.A., Hiscox, A., Saddler, A., Fillinger, U., Moore, S.J., Chitnis, N.","57212559395; 57192895620; 57189104236; 57221641472; 23469954500; 7103050745; 9736908300; 55175194500; 6603277008; 35345151900; 36607585700","Predicting the impact of outdoor vector control interventions on malaria transmission intensity from semi-field studies",2021,"Parasites and Vectors",14,"1", 64,,,,,10.1186/s13071-020-04560-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099698192&partnerID=40&md5=855283252b0d646adf5ea465133c2318",Article,Final,Open Access,Scopus,2-s2.0-85099698192
"Hance, D.J., Moriarty, K.M., Hollen, B.A., Perry, R.W.","56653369000; 26644414700; 57188746505; 7402423185","Identifying resting locations of a small elusive forest carnivore using a two-stage model accounting for GPS measurement error and hidden behavioral states",2021,"Movement Ecology",9,"1", 17,,,,1,10.1186/s40462-021-00256-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103983116&partnerID=40&md5=f6deeadac7b1d5f97223c8e7a593f870",Article,Final,Open Access,Scopus,2-s2.0-85103983116
"Evans, J.M.M., Andreis, F., Cameron, D.M., Eades, C.E.","35601144400; 55557693800; 7402888842; 36659213600","How does the self-reported health of undergraduate nursing students change during their degree programme? Survey results from a Scottish University",2021,"BMC Nursing",20,"1", 44,,,,,10.1186/s12912-021-00563-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102691852&partnerID=40&md5=72c178faa438138114894ac561f6b55d",Article,Final,Open Access,Scopus,2-s2.0-85102691852
"Fiechter, J.L., Kornell, N.","57191617250; 14013381300","How the wisdom of crowds, and of the crowd within, are affected by expertise",2021,"Cognitive Research: Principles and Implications",6,"1", 5,,,,,10.1186/s41235-021-00273-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100579382&partnerID=40&md5=bf4e899ece109997ba48478e8e7d7165",Article,Final,Open Access,Scopus,2-s2.0-85100579382
"Gao, S., Li, Y., Bissig, D., Cohen, E.D., Podolsky, R.H., Childers, K.L., Vernon, G., Chen, S., Berkowitz, B.A., Qian, H.","56844108500; 56292458100; 21933615500; 57200427436; 7006650647; 57219873989; 57200859327; 57200860658; 7103292898; 57203653312","Functional regulation of an outer retina hyporeflective band on optical coherence tomography images",2021,"Scientific Reports",11,"1", 10260,,,,,10.1038/s41598-021-89599-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105815892&partnerID=40&md5=5828acdd7683990b03765fccaf07c864",Article,Final,Open Access,Scopus,2-s2.0-85105815892
"Massen, J.J.M., Hartlieb, M., Martin, J.S., Leitgeb, E.B., Hockl, J., Kocourek, M., Olkowicz, S., Zhang, Y., Osadnik, C., Verkleij, J.W., Bugnyar, T., Němec, P., Gallup, A.C.","36495300100; 57223280016; 57194093894; 57223281691; 57223304825; 57190026281; 6505552505; 57223312353; 57205222346; 57223309416; 6603249133; 36608940000; 22934167200","Brain size and neuron numbers drive differences in yawn duration across mammals and birds",2021,"Communications Biology",4,"1", 503,,,,,10.1038/s42003-021-02019-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105462387&partnerID=40&md5=c8c42f242dc8eff72fffa6d8801e058f",Article,Final,Open Access,Scopus,2-s2.0-85105462387
"Jiang, R.M., Pourzanjani, A.A., Cohen, M.J., Petzold, L.","57194611803; 56958576500; 9738938700; 7005581592","Associations of longitudinal D-Dimer and Factor II on early trauma survival risk",2021,"BMC Bioinformatics",22,"1", 122,,,,,10.1186/s12859-021-04065-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102511949&partnerID=40&md5=ff09ec6838ae138b27230b9e9dac10ff",Article,Final,Open Access,Scopus,2-s2.0-85102511949
"Rehrig, G., Cullimore, R.A., Henderson, J.M., Ferreira, F.","55871515500; 57222047897; 57212888993; 7103359016","When more is more: redundant modifiers can facilitate visual search",2021,"Cognitive Research: Principles and Implications",6,"1", 10,,,,,10.1186/s41235-021-00275-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101071598&partnerID=40&md5=ccc0aa996374f1bafb9a491b1d6da535",Article,Final,Open Access,Scopus,2-s2.0-85101071598
